,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
0,China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
1,USA,"105,161,023","+12,094","1,144,368",+126,"102,534,080","+60,816","1,482,575","2,425","314,096","3,418","1,163,861,047","3,476,233","334,805,269",North America
2,India,"44,685,619",+169,"530,764",+1,"44,152,839",+152,"2,016",N/A,"31,768",377,"918,101,478","652,695","1,406,631,776",Asia
3,France,"39,605,037","+4,489","164,848",+19,"39,371,627","+3,580","68,562",869,"603,878","2,514","271,490,188","4,139,547","65,584,518",Europe
4,Germany,"38,090,089","+21,177","167,723",+119,"37,654,800","+24,000","267,566",N/A,"454,083","1,999","122,332,384","1,458,359","83,883,596",Europe
5,Brazil,"37,008,944","+11,616","698,834",+453,"36,179,646","+8,834","130,464",N/A,"171,852","3,245","63,776,166","296,146","215,353,593",South America
6,Japan,"33,151,209","+15,193","72,051",+128,"21,673,156","+3,267","11,406,002",194,"263,975",574,"94,608,068","753,340","125,584,838",Asia
7,S. Korea,"30,469,702","+10,845","33,909",+22,"30,223,524","+14,004","212,269",180,"593,605",661,"15,804,065","307,892","51,329,899",Asia
8,Italy,"25,547,414",,"187,850",,"25,174,036",,"185,528",154,"423,934","3,117","267,156,892","4,433,200","60,262,770",Europe
9,UK,"24,341,615",,"206,246",,"24,073,944","+2,508","61,425",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
10,Russia,"22,218,663","+14,721","395,938",+37,"21,557,637","+15,028","265,088",N/A,"152,385","2,716","273,400,000","1,875,095","145,805,947",Europe
11,Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
12,Spain,"13,755,956",,"119,186",,"13,596,016",,"40,754",231,"294,439","2,551","471,036,328","10,082,298","46,719,142",Europe
13,Vietnam,"11,526,870",+12,"43,186",,"10,614,740",+5,"868,944",4,"116,488",436,"85,826,548","867,342","98,953,541",Asia
14,Australia,"11,363,400","+2,961","19,357",+17,"11,312,398",+814,"31,645",43,"435,901",743,"78,835,048","3,024,116","26,068,792",Australia/Oceania
